Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
950	n/a (female)
950	R1b1a2a1a2c1b
950	R1b1a2a1a2c1a1a1a1a1a
950	R1b1a2a1a
950	R1b1a2a1a2
950	R1b1a2a1a
1100	R1a1a1a1d1~
1100	n/a (female)
1185	R1b1a1b1a1a2c1a1a1a1a1a1a
1100	R1a1a1b1a3a1
1050	R1b1a1b1a1a1b
400	n/a (female)
400	n/a (female)
1225	..
1225	n/a (female)
1250	n/a (female)
1250	..
1250	..
1250	n/a (female)
1250	..
1250	..
1250	..
1250	n/a (female)
1250	n/a (female)
1250	n/a (female)
1250	n/a (female)
1250	n/a (female)
1250	..
1250	..
1750	n/a (female)
1840	n/a (female)
1850	..
1797	..
1750	..
1863	n/a (female)
1750	..
1750	n/a (female)
1670	..
1850	..
1750	n/a (female)
1850	..
1850	n/a (female)
1850	..
1780	..
1750	n/a (female)
1650	n/a (female)
1750	..
1850	..
1750	..
1750	n/a (female)
1750	..
1750	n/a (female)
1798	n/a (female)
1750	n/a (female)
1750	n/a (female)
1750	n/a (female)
1850	n/a (female)
1750	..
1655	..
1750	n/a (female)
1699	..
1750	n/a (female)
1750	..
1750	n/a (female)
1750	n/a (female)
1750	n/a (female)
1750	n/a (female)
1850	n/a (female)
1850	..
1850	n/a (female)
1850	..
1450	..
1450	..
1450	n/a (female)
1450	..
1450	..
1450	n/a (female)
1538	..
1319	..
1450	..
1450	..
1450	..
1450	..
1450	n/a (female)
1450	n/a (female)
1550	..
1550	n/a (female)
1550	n/a (female)
1550	..
1550	n/a (female)
1450	..
1450	..
1450	..
1450	n/a (female)
1450	..
1109	n/a (female)
972	..
991	n/a (female)
859	n/a (female)
1754	..
1564	..
300	..
508	..
465	..
465	..
465	..
520	..
525	n/a (female)
525	n/a (female)
595	..
595	..
735	n/a (female)
960	..
1095	..
935	..
525	..
602	n/a (female)
595	..
595	..
595	..
595	n/a (female)
595	n/a (female)
850	..
1045	..
1045	n/a (female)
840	..
840	n/a (female)
300	..
300	n/a (female)
800	L1a1b
800	n/a (female)
766	R1b1a1b1a1a2
700	R1b1a1b1b3a
800	n/a (female)
1345	n/a (female)
1345	R1b1a2a1a
1345	R1b1a2a1a2c1g1a1
1345	R1b1a2a1a
1345	..
1345	R1b1a2a1a
1345	n/a (female)
1345	n/a (female)
1345	n/a (female)
1345	R1b1a2a1a
1345	T1a2b
1345	n/a (female)
1345	n/a (female)
1345	R1b1a1a2a1a2b1a
1345	R1b1a2a
1345	R1b1a2a1a
1345	I1a3
1345	R1b1a1a2a1a2f
1345	R1b1a2a2
1345	n/a (female)
1345	R1b1a1a2a1a2
1345	E1b1b1a1b1a3
1345	R1b1a2a
1345	G2a1a1
1106	..
1017	n/a (female)
1005	..
1306	..
1597	..
603	..
604	..
481	n/a (female)
674	..
1775	n/a (female)
1745	..
1772	n/a (female)
1089	..
1638	..
877	..
1000	..
1114	n/a (female)
1088	n/a (female)
1000	n/a (female)
1000	..
982	n/a (female)
944	..
1338	n/a (female)
1379	..
1325	n/a (female)
1627	..
1615	..
1716	..
1667	n/a (female)
1629	n/a (female)
1630	..
550	..
550	..
200	..
200	..
1552	..
1588	n/a (female)
1765	..
1700	n/a (female)
1697	..
1688	..
1700	n/a (female)
1017	..
1100	..
883	..
1050	..
1259	..
850	..
840	..
1723	..
1245	..
991	..
692	n/a (female)
1126	..
1000	..
1600	n/a (female)
1596	..
1508	..
1790	..
1109	..
1250	..
1000	..
1000	n/a (female)
1616	..
1627	..
1350	..
1231	..
1641	..
1650	n/a (female)
1650	..
1653	..
1622	..
402	..
268	E1b1b1b2b2a1; E-M293
604	n/a (female)
960	E1b1b1b2b; E-V1515 (probably E-M293 but not covered)
1011	E1b1a1a1a1a; E-M58
1009	..
1013	..
213	n/a (female)
808	n/a (female)
1786	E1b1b1a1b2; E-V22
1364	E1b1b1b2b(E-M293,E-M293)
1654	E1b1b1b2b2a1; E-M293
1426	n/a (female)
1776	n/a (female)
1719	..
1700	..
1592	..
1700	..
1700	n/a (female)
1632	..
1621	..
735	..
761	n/a (female)
851	n/a (female)
757	n/a (female)
139	..
1129	..
1802	n/a (female)
1656	..
1666	..
1802	n/a (female)
1615	..
1664	..
1600	n/a (female)
1458	..
1472	..
1594	..
1494	..
1435	n/a (female)
1354	n/a (female)
1509	n/a (female)
1575	n/a (female)
1618	..
1492	..
1600	n/a (female)
1779	n/a (female)
1608	..
1627	n/a (female)
1739	..
1461	..
1804	n/a (female)
710	..
702	..
800	..
800	..
851	..
800	..
800	..
725	..
698	..
1525	n/a (female)
1610	..
1406	n/a (female)
1627	n/a (female)
1600	..
915	n/a (female)
378	..
432	..
340	n/a (female)
