Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Y haplogroup (manual curation in ISOGG format)
1502	404-535 calCE (1635±15 BP, UCIAMS-237600)	..
1603	258-407 calCE (1710±15 BP, UCIAMS-237558)	..
1725	1-450 CE	..
1681	216-325 calCE (1800±15 BP, UCIAMS-235921)	..
1609	257-404 calCE (1715±15 BP, UCIAMS-235892)	..
1525	250-600 CE	..
1675	200-350 CE	..
1661	236-331 calCE (1780±15 BP, UCIAMS-237801)	..
465	1480-1490 CE	..
1000	500-1400 CE	..
1470	419-538 calCE (1605±15 BP, UCIAMS-237554)	..
1456	433-560 calCE (1565±15 BP, UCIAMS-237588)	..
1360	558-639 calCE (1485±15 BP, UCIAMS-235952)	..
1750	1-400 CE	..
1750	1-400 CE	..
1330	592-647 calCE (1450±15 BP, UCIAMS-235896)	..
1360	558-639 calCE (1485±15 BP, UCIAMS-235889)	..
1550	300-500 CE	..
1550	300-500 CE	..
1550	300-500 CE	..
1550	300-500 CE	..
1550	300-500 CE	..
1550	300-500 CE	..
1550	300-500 CE	..
1550	300-500 CE	..
1150	700-900 CE	..
1250	600-800 CE	..
1025	900-950 CE	..
1025	900-950 CE	..
970	960-1000 CE	..
1263	675-700 CE	..
1250	675-725 CE	..
1300	600-700 CE	..
1300	600-700 CE	..
1300	625-675 CE	..
970	960-1000 CE	..
970	960-1000 CE	..
1228	663-775 calCE (1300±17BP, DeA-26549)	..
1250	600-800 CE	..
975	950-1000 CE	..
975	950-1000 CE	..
1300	625-675 CE	..
1325	600-650 CE	..
950	900-1100 CE	..
900	1000-1100 CE	..
1008	892-993 calCE (1108±15BP, DeA-26590)	..
1000	900-1000 CE	..
1513	375-500 CE	..
1513	375-500 CE	..
1200	700-800 CE	..
1525	366-533 calCE (1648±18BP, DeA-26539)	..
900	1000-1100 CE	..
1150	700-900 CE	..
1025	900-950 CE	..
1025	900-950 CE	..
1200	700-800 CE	..
925	1000-1050 CE	..
1288	600-725 CE	..
950	900-1100 CE	..
970	960-1000 CE	..
1513	375-500 CE	..
1000	900-1000 CE	..
900	1000-1100 CE	..
1232	657-775 calCE (1309±26BP, DeA-22535)	..
1244	650-775 calCE (1329±28BP, DeA-22536)	..
1200	700-800 CE	..
1230	661-775 calCE (1309±15BP, DeA-26573)	..
975	950-1000 CE	..
1286	645-758 calCE (1358±19BP, DeA-26557)	..
1000	900-1000 CE	..
1015	887-987 calCE (1124±16BP, DeA-26576)	..
970	960-1000 CE	..
1265	670-700 CE	..
1305	630-660 CE	..
944	989-1028 calCE (1046±17BP, DeA-26562)	..
1000	900-1000 CE	..
1300	625-675 CE	..
1275	650-700 CE	..
1205	670-873 calCE (1258±27BP, DeA-22531)	..
1150	700-900 CE	..
1305	630-660 CE	..
1011	891-989 calCE (1117±15BP, DeA.26585)	..
1000	900-1000 CE	..
900	1000-1100 CE	..
1270	660-700 CE	..
1240	657-774 calCE (1320±16BP, DeA-26583)	..
1200	600-900 CE	..
1263	675-700 CE	..
1150	775-825 CE	..
1150	700-900 CE	..
1000	900-1000 CE	..
1305	630-660 CE	..
975	950-1000 CE	..
900	1030-1070 CE	..
1008	892-992 calCE (1109±17BP, DeA-26561)	..
975	950-1000 CE	..
900	1000-1100 CE	..
1000	900-1000 CE	..
950	900-1100 CE	..
950	900-1100 CE	..
1200	700-800 CE	..
1162	702-878 calCE (1234±16BP, DeA-26578)	..
1025	900-950 CE	..
1025	900-950 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
870	1060-1100 CE	..
900	1000-1100 CE	..
1200	600-900 CE	..
1200	700-800 CE	..
1300	625-675 CE	..
1305	630-660 CE	..
1325	600-650 CE	..
1305	630-660 CE	..
1220	667-821 calCE (1272±26BP, DeA-22529)	..
1226	662-776 calCE (1286±27BP, DeA-22530)	..
963	975-1000 CE	..
1150	706-878 calCE (1229±16BP, DeA-26589)	..
1025	900-950 CE	..
900	1000-1100 CE	..
975	950-1000 CE	..
975	950-1000 CE	..
1241	656-774 calCE (1321±17BP, DeA-26547)	..
1244	653-774 calCE (1327±23BP, DeA-26551)	..
1150	700-900 CE	..
1132	710-881 calCE (1219±15BP, DeA-26588)	..
1022	774-1023 calCE (1111±47BP, AA85988)	..
1016	774-1025 calCE (1104±46BP, AA85990)	..
1300	600-700 CE	..
1288	650-675 CE	..
1000	900-1000 CE	..
1267	651-773 calCE (1338±16BP, DeA-26579)	..
950	900-1100 CE	..
950	900-1100 CE	..
1500	430-470 CE	..
1150	700-900 CE	..
1250	600-800 CE	..
1325	600-650 CE	..
1325	600-650 CE	..
1305	630-660 CE	..
1305	630-660 CE	..
1227	667-775 calCE (1290±17BP, DeA-26543)	..
1285	646-758 calCE (1354±17BP, DeA-26544)	..
1223	663-818 calCE (1280±27BP, DeA-22541)	..
1275	650-700 CE	..
1357	556-640 calCE (1483±18BP, DeA-26540)	..
1265	670-700 CE	..
975	950-1000 CE	..
1243	675-740 CE	..
1228	663-775 calCE (1304±15BP, DeA-26572)	..
1200	700-800 CE	..
1226	645-828 calCE (1309±47BP, Deb-8057)	..
970	960-1000 CE	..
1250	600-800 CE	..
1121	774-882 calCE (1206±17BP, DeA-26546)	..
1286	643-758 calCE (1360±20BP, UGAMS-51300)	..
1005	892-994 calCE (1100±20BP, UGAMS-51302)	..
1231	660-775 calCE (1309±17BP, DeA-26545)	..
1250	600-800 CE	..
970	960-1000 CE	..
970	960-1000 CE	..
1250	600-800 CE	..
1250	600-800 CE	..
1227	672-774 calCE (1283±16BP, DeA-26586)	..
1597	258-410 calCE (1704±16BP, DeA-26587)	..
1000	900-1000 CE	..
1000	900-1000 CE	..
1003	893-995 calCE (1097±15BP, DeA-26575)	..
870	1060-1100 CE	..
875	1050-1100 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
900	1000-1100 CE	..
950	900-1100 CE	..
950	900-1100 CE	..
1325	600-650 CE	..
1288	650-675 CE	..
900	1000-1100 CE	..
900	1000-1100 CE	..
1150	700-900 CE	..
1150	700-900 CE	..
970	960-1000 CE	..
970	960-1000 CE	..
1410	436-600 calCE (1534±23BP, D-AMS010445)	..
1391	439-605 calCE (1520±25BP, D-AMS010449)	..
1175	750-800 CE	..
1175	750-800 CE	..
970	960-1000 CE	..
1265	670-700 CE	..
1015	886-992 calCE (1121±23BP, DeA-23557)	..
1020	776-994 calCE (1126±25BP, DeA-23558)	..
1260	660-720 CE	..
1137	706-883 calCE (1220±20BP, UGAMS-51298)	..
975	950-1000 CE	..
975	950-1000 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
1365	550-636 calCE (1492±19BP, DeA-26541)	..
1227	665-775 calCE (1294±18BP, DeA-26542)	..
1243	675-740 CE	..
1270	660-700 CE	..
1150	700-900 CE	..
1200	700-800 CE	..
1417	415-652 calCE (1519±73BP, Poz-32969)	..
1223	653-823 calCE (1297±41BP, Deb-8030)	..
857	1024-1157 calCE (968±22BP, DeA-23560)	..
1265	670-700 CE	..
1290	650-670 CE	..
970	960-1000 CE	..
1305	630-660 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
1230	700-740 CE	..
1270	660-700 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
1009	892-992 calCE (1110±20BP, UGAMS-51297)	..
1250	600-800 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
970	960-1000 CE	..
1200	700-800 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
1322	603-653 calCE (1420±17BP, DeA-26560)	..
1270	660-700 CE	..
1191	674-877 calCE (1250±30BP, Poz-32968)	..
1200	661-877 calCE (1269±44BP, Deb-8032)	..
1476	414-538 calCE (1616±19BP, DeA-26559)	..
1265	670-700 CE	..
1200	700-800 CE	..
1200	700-800 CE	..
1038	900-925 CE	..
1100	800-900 CE	..
1150	700-900 CE	..
1156	684-884 calCE (1229±28BP, DeA-22245)	..
1550	375-425 CE	..
1350	500-700 CE	..
975	950-1000 CE	..
1007	892-993 calCE (1106±16BP, DeA-26574)	..
1090	772-958 calCE (1172±26BP, DeA-22240)	..
1217	675-823 calCE (1260±20BP, UGAMS-51301)	..
900	1000-1100 CE	..
1000	900-1000 CE	..
970	960-1000 CE	..
970	960-1000 CE	..
1021	774-1023 calCE (1110±46BP, AA85987)	..
950	900-1100 CE	..
1300	625-675 CE	..
1200	700-800 CE	..
1300	600-700 CE	..
1225	700-750 CE	..
1270	660-700 CE	..
1270	660-700 CE	..
1200	725-775 CE	..
1275	650-700 CE	..
1069	772-977 calCE (1160±27BP, DeA-22533)	..
1224	663-816 calCE (1281±27BP, DeA-22239)	..
1150	700-900 CE	..
1314	605-659 calCE (1406±17BP, DeA-26537)	..
1275	650-700 CE	..
1263	675-700 CE	..
1263	675-700 CE	..
1288	650-675 CE	..
1175	750-800 CE	..
1175	750-800 CE	..
1333	578-649 calCE (1450±23BP, D-AMS010448)	..
1328	590-654 calCE (1435±24BP, D-AMS010446)	..
1265	670-700 CE	..
1417	436-595 calCE (1540±20BP, UGAMS-51299)	..
1367	541-643 calCE (1495±30BP)	..
975	950-1000 CE	..
975	950-1000 CE	..
1305	630-660 CE	..
1509	383-535 calCE (1640±17BP, DeA-26548)	..
1310	630-650 CE	..
1265	670-700 CE	..
1259	652-773 calCE (1333±16BP, DeA-26577)	..
1270	660-700 CE	..
970	960-1000 CE	..
1150	700-900 CE	..
1150	700-900 CE	..
1000	900-1000 CE	..
1000	900-1000 CE	..
975	950-1000 CE	..
925	1000-1050 CE	..
1300	630-670 CE	N1a1a1a1a3a2
1300	630-670 CE	N1a1a1a1a3a
1300	630-670 CE	n/a (female)
1300	630-670 CE	Q1a2a1a4a~
1300	630-670 CE	n/a (female)
1300	630-670 CE	n/a (female)
1300	630-670 CE	Q1b1a3b
1330	600-640 CE	N1a1a1a1a
1175	750-800 CE	n/a (female)
1200	700-800 CE	n/a (female)
1500	400-500 CE	n/a (female)
1500	400-500 CE	I2a1b1a2b1~
1500	400-500 CE	I1a2a1a1a1b
1500	400-500 CE	I1a2a1a1a
1500	400-500 CE	I1a
1500	400-500 CE	n/a (female)
1500	400-500 CE	I2a1b1a2b1a~
1500	400-500 CE	n/a (female)
1550	350-450 CE	n/a (female)
1550	350-450 CE	n/a (female)
1550	350-450 CE	R1b1a1b1a1a2b
1550	350-450 CE	n/a (female)
1550	350-450 CE	G2a1a1a1a1a1
1550	350-450 CE	n/a (female)
1550	350-450 CE	n/a (female)
1550	350-450 CE	R1a1a1b2a2a1
1500	400-500 CE	R1a1a1b2a2b2~
1200	700-800 CE	n/a (female)
1300	630-670 CE	N1a1a1a1a3a
1250	600-800 CE	N1a1a1a1a3a
1175	750-800 CE	N1a1a1a1a3a
1200	700-800 CE	N1a1a1a1a3a
1300	630-670 CE	n/a (female)
1300	630-670 CE	N1a1a1a1a3a
1300	630-670 CE	n/a (female)
1300	630-670 CE	N1a1a1a1a3a
1300	630-670 CE	N1a1a1a1a
1300	630-670 CE	N1a1a1a1a3a
1300	630-670 CE	N1a1a1a1a3a
1300	630-670 CE	N1a1a1a1a3a
1325	600-650 CE	R1a1a1b1a2a
1325	600-650 CE	n/a (female)
